ticket_number,department,location,category,priority,power_indicator,remote_no_response,compressor_no_sound,cooling_low,ac_water_leak,projector_no_display,lamp_led,lamp_hours,router_led,multiple_users_affected,single_user_affected,socket_tested_ok,lighting_flicker,recently_installed,noise,vibration,severity,previous_incidents,resolution_time,escalated,assigned_staff
TKT-1001,CSE,CSE Building - Room 241,AC_POWER,HIGH,on,True,True,True,True,False,off,622.0,on,True,True,True,True,False,True,False,5.0,4.0,12.0,0,4
TKT-1002,EEE,EEE Building - Room 180,WIFI_INTERMITTENT,HIGH,on,False,True,True,False,True,on,3971.0,off,False,True,False,True,False,True,False,5.0,5.0,35.0,1,2
TKT-1003,EEE,EEE Building - Room 220,AC_WATER_LEAK,MEDIUM,on,False,False,False,False,True,on,1955.0,on,False,True,True,True,True,False,False,3.0,8.0,5.0,0,1
TKT-1004,EEE,EEE Building - Room 238,LIGHTING_FLICKER,MEDIUM,on,True,False,True,False,False,blinking,2379.0,on,False,True,True,False,False,False,False,,2.0,18.0,1,2
TKT-1005,ECE,ECE Building - Room 406,LIGHTING_FAILURE,LOW,on,False,False,False,False,True,blinking,3452.0,,False,False,True,False,False,True,False,1.0,,8.0,0,3
TKT-1006,Biotechnology,Biotechnology Building - Room 202,OTHER_INFRASTRUCTURE,LOW,on,False,True,True,False,False,off,958.0,off,False,True,True,True,True,True,False,1.0,8.0,59.0,1,2
TKT-1007,EEE,EEE Building - Room 317,CLASSROOM_SOCKET,LOW,on,True,False,False,False,False,blinking,,on,True,True,True,False,True,True,True,1.0,1.0,4.0,0,1
TKT-1008,Biotechnology,Biotechnology Building - Room 243,WIFI_NO_CONNECTIVITY,HIGH,on,False,True,True,False,True,on,3807.0,off,True,True,True,False,False,False,False,4.0,0.0,68.0,1,1
TKT-1009,ECE,ECE Building - Room 198,PROJECTOR_POWER,CRITICAL,on,False,True,False,True,False,on,1523.0,on,False,True,True,True,True,True,True,4.0,,38.0,1,2
TKT-1010,Mechanical,Mechanical Building - Room 300,AC_POWER,HIGH,off,False,False,False,False,True,off,1715.0,on,True,True,False,True,True,False,True,1.0,8.0,6.0,0,1
TKT-1011,ECE,ECE Building - Room 162,LIGHTING_FLICKER,MEDIUM,on,True,True,True,False,False,on,,off,True,False,False,True,False,False,False,,0.0,38.0,0,1
TKT-1012,Biotechnology,Biotechnology Building - Room 360,PROJECTOR_POWER,LOW,off,True,False,True,True,False,on,1146.0,off,False,True,False,True,True,False,True,1.0,,56.0,1,6
TKT-1013,EEE,EEE Building - Room 236,PROJECTOR_POWER,LOW,,False,False,True,True,False,on,680.0,on,False,True,False,True,False,False,True,1.0,1.0,25.0,0,5
TKT-1014,ECE,ECE Building - Room 166,LIGHTING_FAILURE,MEDIUM,,False,False,True,False,True,blinking,1522.0,on,False,False,True,True,True,True,False,1.0,2.0,28.0,0,6
TKT-1015,ECE,ECE Building - Room 182,WIFI_INTERMITTENT,MEDIUM,,True,False,True,False,True,off,3844.0,off,False,False,True,True,True,True,False,3.0,4.0,19.0,0,6
TKT-1016,Biotechnology,Biotechnology Building - Room 375,LIGHTING_FLICKER,LOW,,True,True,False,True,False,off,944.0,off,False,False,False,True,False,True,False,1.0,6.0,36.0,0,6
TKT-1017,ECE,ECE Building - Room 321,LAB_EQUIPMENT_INTERNAL,CRITICAL,on,False,False,True,False,False,blinking,2172.0,off,False,False,True,True,False,False,True,5.0,4.0,21.0,1,3
TKT-1018,ECE,ECE Building - Room 397,LIGHTING_FAILURE,LOW,on,False,False,False,False,True,blinking,2438.0,on,True,False,False,True,True,False,True,2.0,2.0,61.0,1,1
TKT-1019,Mechanical,Mechanical Building - Room 395,LIGHTING_FAILURE,LOW,on,False,False,False,True,True,blinking,3316.0,on,True,False,True,True,False,True,True,,7.0,44.0,0,5
TKT-1020,Biotechnology,Biotechnology Building - Room 327,LAB_EQUIPMENT_POWER,MEDIUM,,False,False,True,False,False,on,3579.0,,False,False,True,False,False,True,False,,,48.0,1,2
TKT-1021,ECE,ECE Building - Room 297,WIFI_NO_CONNECTIVITY,CRITICAL,on,True,True,True,False,False,on,2722.0,off,False,True,True,False,False,True,False,,0.0,62.0,1,4
TKT-1022,Biotechnology,Biotechnology Building - Room 409,NETWORK_SLOW,LOW,on,False,True,False,False,False,off,,off,False,True,False,True,True,False,True,1.0,,13.0,0,3
TKT-1023,Mechanical,Mechanical Building - Room 209,LAB_EQUIPMENT_POWER,LOW,off,False,False,False,False,False,on,3919.0,,False,True,True,False,True,True,True,1.0,3.0,41.0,0,2
TKT-1024,ECE,ECE Building - Room 159,CLASSROOM_FAN,LOW,on,True,False,False,False,True,blinking,2987.0,on,True,False,True,True,False,False,False,2.0,1.0,21.0,0,5
TKT-1025,CSE,CSE Building - Room 122,EQUIPMENT_OVERHEATING,CRITICAL,off,False,False,True,False,True,on,3868.0,off,True,False,False,False,True,False,True,5.0,4.0,76.0,1,3
TKT-1026,EEE,EEE Building - Room 145,WIFI_NO_CONNECTIVITY,HIGH,off,False,True,False,False,False,off,2524.0,off,True,False,True,False,False,False,False,5.0,4.0,26.0,1,2
TKT-1027,Mechanical,Mechanical Building - Room 385,CLASSROOM_FAN,HIGH,on,False,False,False,True,True,on,1407.0,off,True,False,False,False,False,False,False,3.0,7.0,29.0,1,6
TKT-1028,ECE,ECE Building - Room 162,LAB_EQUIPMENT_POWER,LOW,,True,True,True,False,False,blinking,2914.0,off,True,True,False,True,False,True,False,1.0,8.0,32.0,1,3
TKT-1029,ECE,ECE Building - Room 153,CLASSROOM_FAN,HIGH,on,False,False,False,False,False,off,4454.0,on,False,False,True,True,False,False,True,5.0,0.0,57.0,1,1
TKT-1030,ECE,ECE Building - Room 386,AC_NOISE,LOW,off,True,False,False,False,False,blinking,,off,True,True,True,True,False,True,True,,2.0,28.0,0,6
TKT-1031,Biotechnology,Biotechnology Building - Room 250,CLASSROOM_FAN,LOW,on,True,False,False,False,True,blinking,1456.0,off,True,False,True,True,True,False,True,1.0,,40.0,0,5
TKT-1032,EEE,EEE Building - Room 164,CLASSROOM_POWER,HIGH,off,False,False,False,False,False,off,2949.0,on,False,False,False,True,True,True,True,3.0,0.0,43.0,0,3
TKT-1033,ECE,ECE Building - Room 324,EQUIPMENT_OVERHEATING,CRITICAL,on,False,True,False,False,False,on,,on,True,False,False,False,False,False,True,4.0,1.0,43.0,1,4
